n_x,n_y,n_z,m_x,m_y,m_z,Energy Transition (in eV)
4,2,0,0,1,0,0.066974278110033
4,2,1,0,1,0,0.172955553361074
4,2,2,0,1,0,0.490899379114198
4,2,3,0,1,0,1.0208057553694
4,3,0,0,1,0,0.100093426625983
4,3,1,0,1,0,0.206074701877025
4,3,2,0,1,0,0.524018527630148
4,3,3,0,1,0,1.05392490388535
4,4,0,0,1,0,0.146460234548314
4,4,1,0,1,0,0.252441509799355
4,4,2,0,1,0,0.570385335552479
4,4,3,0,1,0,1.10029171180769
4,5,0,0,1,0,0.206074701877025
4,5,1,0,1,0,0.312055977128066
4,5,2,0,1,0,0.62999980288119
4,5,3,0,1,0,1.1599061791364
4,6,0,0,1,0,0.278936828612115
4,6,1,0,1,0,0.384918103863157
4,6,2,0,1,0,0.70286192961628
4,6,3,0,1,0,1.23276830587149
4,7,0,0,1,0,0.365046614753587
4,7,1,0,1,0,0.471027890004628
4,7,2,0,1,0,0.788971715757751
4,7,3,0,1,0,1.31887809201296
4,8,0,0,1,0,0.464404060301438
4,8,1,0,1,0,0.570385335552479
4,8,2,0,1,0,0.888329161305603
4,8,3,0,1,0,1.41823553756081
4,9,0,0,1,0,0.577009165255669
4,9,1,0,1,0,0.68299044050671
4,9,2,0,1,0,1.00093426625983
4,9,3,0,1,0,1.53084064251504
5,0,0,0,1,0,0.066974278110033
5,0,1,0,1,0,0.172955553361074
5,0,2,0,1,0,0.490899379114198
5,0,3,0,1,0,1.0208057553694
5,1,0,0,1,0,0.0735981078132231
5,1,1,0,1,0,0.179579383064264
5,1,2,0,1,0,0.497523208817388
5,1,3,0,1,0,1.02742958507259
5,2,0,0,1,0,0.0934695969227933
5,2,1,0,1,0,0.199450872173835
5,2,2,0,1,0,0.517394697926958
5,2,3,0,1,0,1.04730107418216
5,3,0,0,1,0,0.126588745438744
5,3,1,0,1,0,0.232570020689785
5,3,2,0,1,0,0.550513846442909
5,3,3,0,1,0,1.08042022269811
5,4,0,0,1,0,0.172955553361074
5,4,1,0,1,0,0.278936828612115
5,4,2,0,1,0,0.596880654365239
5,4,3,0,1,0,1.12678703062045
5,5,0,0,1,0,0.232570020689785
5,5,1,0,1,0,0.338551295940826
5,5,2,0,1,0,0.65649512169395
5,5,3,0,1,0,1.18640149794916
5,6,0,0,1,0,0.305432147424876
5,6,1,0,1,0,0.411413422675917
5,6,2,0,1,0,0.729357248429041
5,6,3,0,1,0,1.25926362468425
5,7,0,0,1,0,0.391541933566347
5,7,1,0,1,0,0.497523208817388
5,7,2,0,1,0,0.815467034570512
5,7,3,0,1,0,1.34537341082572
5,8,0,0,1,0,0.490899379114198
5,8,1,0,1,0,0.596880654365239
5,8,2,0,1,0,0.914824480118363
5,8,3,0,1,0,1.44473085637357
5,9,0,0,1,0,0.603504484068429
5,9,1,0,1,0,0.709485759319471
5,9,2,0,1,0,1.02742958507259
5,9,3,0,1,0,1.5573359613278
6,0,0,0,1,0,0.0993574455478512
6,0,1,0,1,0,0.205338720798892
6,0,2,0,1,0,0.523282546552016
6,0,3,0,1,0,1.05318892280722
6,1,0,0,1,0,0.105981275251041
6,1,1,0,1,0,0.211962550502082
6,1,2,0,1,0,0.529906376255206
6,1,3,0,1,0,1.05981275251041
6,2,0,0,1,0,0.125852764360611
6,2,1,0,1,0,0.231834039611653
6,2,2,0,1,0,0.549777865364776
6,2,3,0,1,0,1.07968424161998
6,3,0,0,1,0,0.158971912876562
