n_x,n_y,n_z,m_x,m_y,m_z,Energy_Transition_eV,Interaction_Matrix_Element
2,8,2,0,0,0,0.858456252614259,-1.06741658487401e+29
2,8,3,0,0,0,1.38764161381483,-1.06741658487401e+29
2,9,0,0,0,0,0.547559852908924,-1.06741658487401e+29
2,9,1,0,0,0,0.653396925149038,-1.06741658487401e+29
2,9,2,0,0,0,0.97090814186938,-1.06741658487401e+29
2,9,3,0,0,0,1.50009350306995,-1.06741658487401e+29
3,0,0,0,0,0,0.0264592680600285,-1.06741658487401e+29
3,0,1,0,0,0,0.132296340300143,-1.06741658487401e+29
3,0,2,0,0,0,0.449807557020485,-1.06741658487401e+29
3,0,3,0,0,0,0.978992918221055,-1.06741658487401e+29
3,1,0,0,0,0,0.0330740850750356,-1.06741658487401e+29
3,1,1,0,0,0,0.13891115731515,-1.06741658487401e+29
3,1,2,0,0,0,0.456422374035492,-1.06741658487401e+29
3,1,3,0,0,0,0.985607735236062,-1.06741658487401e+29
3,2,0,0,0,0,0.052918536120057,-1.06741658487401e+29
3,2,1,0,0,0,0.158755608360171,-1.06741658487401e+29
3,2,2,0,0,0,0.476266825080513,-1.06741658487401e+29
3,2,3,0,0,0,1.00545218628108,-1.06741658487401e+29
3,3,0,0,0,0,0.0859926211950927,-1.06741658487401e+29
3,3,1,0,0,0,0.191829693435207,-1.06741658487401e+29
3,3,2,0,0,0,0.509340910155549,-1.06741658487401e+29
3,3,3,0,0,0,1.03852627135612,-1.06741658487401e+29
3,4,0,0,0,0,0.132296340300143,-1.06741658487401e+29
3,4,1,0,0,0,0.238133412540257,-1.06741658487401e+29
3,4,2,0,0,0,0.555644629260599,-1.06741658487401e+29
3,4,3,0,0,0,1.08482999046117,-1.06741658487401e+29
3,5,0,0,0,0,0.191829693435207,-1.06741658487401e+29
3,5,1,0,0,0,0.297666765675321,-1.06741658487401e+29
3,5,2,0,0,0,0.615177982395663,-1.06741658487401e+29
3,5,3,0,0,0,1.14436334359623,-1.06741658487401e+29
3,6,0,0,0,0,0.264592680600285,-1.06741658487401e+29
3,6,1,0,0,0,0.370429752840399,-1.06741658487401e+29
3,6,2,0,0,0,0.687940969560741,-1.06741658487401e+29
3,6,3,0,0,0,1.21712633076131,-1.06741658487401e+29
3,7,0,0,0,0,0.350585301795378,-1.06741658487401e+29
3,7,1,0,0,0,0.456422374035492,-1.06741658487401e+29
3,7,2,0,0,0,0.773933590755834,-1.06741658487401e+29
3,7,3,0,0,0,1.3031189519564,-1.06741658487401e+29
3,8,0,0,0,0,0.449807557020485,-1.06741658487401e+29
3,8,1,0,0,0,0.555644629260599,-1.06741658487401e+29
3,8,2,0,0,0,0.873155845980941,-1.06741658487401e+29
3,8,3,0,0,0,1.40234120718151,-1.06741658487401e+29
3,9,0,0,0,0,0.562259446275606,-1.06741658487401e+29
3,9,1,0,0,0,0.66809651851572,-1.06741658487401e+29
3,9,2,0,0,0,0.985607735236062,-1.06741658487401e+29
3,9,3,0,0,0,1.51479309643663,-1.06741658487401e+29
4,0,0,0,0,0,0.047038698773384,-1.06741658487401e+29
4,0,1,0,0,0,0.152875771013498,-1.06741658487401e+29
4,0,2,0,0,0,0.47038698773384,-1.06741658487401e+29
4,0,3,0,0,0,0.999572348934411,-1.06741658487401e+29
4,1,0,0,0,0,0.0536535157883912,-1.06741658487401e+29
4,1,1,0,0,0,0.159490588028505,-1.06741658487401e+29
4,1,2,0,0,0,0.477001804748848,-1.06741658487401e+29
4,1,3,0,0,0,1.00618716594942,-1.06741658487401e+29
4,2,0,0,0,0,0.0734979668334126,-1.06741658487401e+29
4,2,1,0,0,0,0.179335039073527,-1.06741658487401e+29
4,2,2,0,0,0,0.496846255793869,-1.06741658487401e+29
4,2,3,0,0,0,1.02603161699444,-1.06741658487401e+29
4,3,0,0,0,0,0.106572051908448,-1.06741658487401e+29
4,3,1,0,0,0,0.212409124148562,-1.06741658487401e+29
4,3,2,0,0,0,0.529920340868905,-1.06741658487401e+29
4,3,3,0,0,0,1.05910570206947,-1.06741658487401e+29
