------------------------------------------------------------
 Wavefunction  1
------------------------------------------------------------
Distance (nm), Wavefunction (arbitrary units)
                22.5,             8.54e-15
                22.6,             9.56e-15
                22.7,             1.51e-14
                22.8,             1.48e-14
                22.9,             1.85e-14
                  23,              1.5e-14
                23.1,             1.42e-14
                23.2,             7.91e-15
                23.3,             5.86e-15
                23.4,             1.79e-15
                23.5,             2.95e-16
                23.6,             2.14e-15
                23.7,             7.92e-15
                23.8,             1.37e-14
                23.9,             1.58e-14
                  24,             1.24e-14
                24.1,             1.41e-14
                24.2,             1.64e-14
                24.3,             1.06e-14
                24.4,             5.09e-15
                24.5,            -4.08e-16
                24.6,             2.81e-15
                24.7,                5e-15
                24.8,             3.39e-15
                24.9,            -1.11e-15
                  25,            -4.56e-15
                25.1,            -9.89e-15
                25.2,            -1.02e-14
                25.3,            -7.86e-15
                25.4,            -7.25e-15
                25.5,            -6.02e-15
                25.6,             -4.9e-15
                25.7,            -4.64e-15
                25.8,            -5.96e-16
                25.9,            -1.03e-15
                  26,              9.4e-16
                26.1,            -5.25e-15
                26.2,            -7.89e-15
                26.3,            -4.69e-15
                26.4,            -2.41e-15
                26.5,            -2.93e-15
                26.6,             6.52e-16
                26.7,             4.63e-15
                26.8,             7.83e-15
                26.9,             9.38e-15
                  27,             6.53e-15
                27.1,             7.33e-15
                27.2,             5.47e-15
                27.3,             1.22e-14
                27.4,             1.23e-14
                27.5,             1.08e-14
                27.6,             7.69e-15
                27.7,             4.51e-15
                27.8,              6.9e-15
                27.9,              6.6e-15
                  28,             1.02e-14
                28.1,             1.36e-14
                28.2,             1.32e-14
                28.3,             9.24e-15
                28.4,             -1.6e-15
                28.5,             -6.9e-15
                28.6,            -1.75e-14
                28.7,            -2.89e-14
                28.8,             -3.7e-14
                28.9,            -3.68e-14
                  29,            -2.93e-14
                29.1,            -1.99e-14
                29.2,            -1.33e-14
                29.3,            -1.15e-14
                29.4,            -1.17e-14
                29.5,            -5.33e-15
                29.6,             1.79e-15
                29.7,              1.4e-14
                29.8,             2.16e-14
                29.9,             2.47e-14
                  30,             2.51e-14
                30.1,             2.75e-14
                30.2,                3e-14
                30.3,             3.88e-14
                30.4,             4.53e-14
                30.5,             4.72e-14
                30.6,             4.12e-14
                30.7,             3.76e-14
                30.8,             3.13e-14
                30.9,             2.76e-14
                  31,             2.24e-14
                31.1,             1.63e-14
                31.2,             1.28e-14
                31.3,             1.39e-14
                31.4,             1.66e-14
                31.5,              2.1e-14
                31.6,              2.4e-14
                31.7,             3.28e-14
                31.8,             3.98e-14
                31.9,             4.07e-14
                  32,             3.78e-14
                32.1,             3.92e-14
                32.2,             3.91e-14
                32.3,             3.67e-14
                32.4,             3.83e-14
                32.5,             3.67e-14
                32.6,             3.12e-14
                32.7,             2.33e-14
                32.8,             1.01e-14
                32.9,             5.06e-15
                  33,            -1.55e-15
                33.1,            -9.48e-17
                33.2,            -4.04e-15
                33.3,            -6.69e-15
                33.4,            -1.49e-14
                33.5,            -2.28e-14
                33.6,            -2.04e-14
                33.7,            -1.53e-14
                33.8,            -8.59e-15
                33.9,            -9.57e-16
                  34,             2.22e-15
                34.1,            -6.62e-16
